roll_number,full_name,email,department_code,class_name,semester,mentor_email
LDCE-CE-001,Aarav Patel,aarav.patel@ldce.ac.in,CE,CE-A,3,rajesh.patel@ldce.ac.in
LDCE-CE-002,Priya Sharma,priya.sharma@ldce.ac.in,CE,CE-A,3,rajesh.patel@ldce.ac.in
LDCE-CE-003,Vivaan Modi,vivaan.modi@ldce.ac.in,CE,CE-A,3,rajesh.patel@ldce.ac.in
LDCE-CE-004,Ananya Desai,ananya.desai@ldce.ac.in,CE,CE-A,3,meena.shah@ldce.ac.in
LDCE-CE-005,Reyansh Mehta,reyansh.mehta@ldce.ac.in,CE,CE-A,3,meena.shah@ldce.ac.in
LDCE-CE-006,Diya Shah,diya.shah@ldce.ac.in,CE,CE-A,3,meena.shah@ldce.ac.in
LDCE-CE-007,Aditya Joshi,aditya.joshi@ldce.ac.in,CE,CE-A,3,vikram.desai@ldce.ac.in
LDCE-CE-008,Ishita Trivedi,ishita.trivedi@ldce.ac.in,CE,CE-A,3,vikram.desai@ldce.ac.in
LDCE-CE-009,Arjun Kumar,arjun.kumar@ldce.ac.in,CE,CE-A,3,vikram.desai@ldce.ac.in
LDCE-CE-010,Kavya Bhatt,kavya.bhatt@ldce.ac.in,CE,CE-A,3,rajesh.patel@ldce.ac.in
LDCE-CE-011,Rohan Pandya,rohan.pandya@ldce.ac.in,CE,CE-A,3,rajesh.patel@ldce.ac.in
LDCE-CE-012,Saanvi Chauhan,saanvi.chauhan@ldce.ac.in,CE,CE-A,3,meena.shah@ldce.ac.in
LDCE-CE-013,Vihaan Rao,vihaan.rao@ldce.ac.in,CE,CE-A,3,meena.shah@ldce.ac.in
LDCE-CE-014,Nisha Thakur,nisha.thakur@ldce.ac.in,CE,CE-A,3,vikram.desai@ldce.ac.in
LDCE-CE-015,Dhruv Agarwal,dhruv.agarwal@ldce.ac.in,CE,CE-A,3,vikram.desai@ldce.ac.in
LDCE-CE-016,Meera Iyer,meera.iyer@ldce.ac.in,CE,CE-A,3,rajesh.patel@ldce.ac.in
LDCE-CE-017,Kabir Verma,kabir.verma@ldce.ac.in,CE,CE-A,3,meena.shah@ldce.ac.in
LDCE-CE-018,Riya Nair,riya.nair@ldce.ac.in,CE,CE-A,3,vikram.desai@ldce.ac.in
